Geneid SRR420912 SRR420913 SRR420914 SRR420915 SRR420916 SRR420917
BGIOSGA000501 290 158 395 159 135 168
BGIOSGA000502 1 7 5 21 6 12
BGIOSGA000503 0 5 0 0 4 2
BGIOSGA000504 26 97 18 22 85 112
BGIOSGA000505 0 0 0 2 0 0
BGIOSGA000506 0 0 0 0 0 0
BGIOSGA000507 63 16 51 36 13 28
BGIOSGA000508 226 27 24 106 2 8
BGIOSGA000509 176 530 91 72 320 208
BGIOSGA000510 34 116 28 32 131 60
BGIOSGA000511 992 129 127 273 118 170
BGIOSGA000512 54 41 8 48 0 22
BGIOSGA000513 94 107 181 157 133 113
BGIOSGA000514 147 286 460 166 293 289
BGIOSGA000515 98 38 38 60 38 61
BGIOSGA000516 0 97 6 0 11 0
BGIOSGA000517 389 269 287 180 281 542
BGIOSGA000518 455 88 345 1109 32 2414
BGIOSGA000519 452 619 507 379 744 270
BGIOSGA000520 1966 679 854 1021 217 805
BGIOSGA000521 19 128 25 41 60 187
BGIOSGA000522 67 72 25 58 51 32
BGIOSGA000523 11 317 11 19 245 24
BGIOSGA000524 129 17 7 267 2 84
BGIOSGA000525 0 0 2 0 0 0
BGIOSGA000526 708 800 961 568 682 512
BGIOSGA000527 229 472 380 275 491 540
BGIOSGA000528 0 0 2 0 0 0
BGIOSGA000529 0 0 0 0 0 0
BGIOSGA000530 24 345 29 29 552 61
BGIOSGA000531 373 1221 1240 209 971 680
BGIOSGA000532 1506 960 636 756 735 678
BGIOSGA000533 4 2 0 0 0 0
BGIOSGA000534 79 59 102 89 100 85
BGIOSGA000535 34 62 4 31 79 89
BGIOSGA000536 692 569 838 1233 598 954
BGIOSGA000537 1153 356 556 909 96 592
BGIOSGA000538 0 9 2 2 0 2
BGIOSGA000539 6483 1607 1917 3973 1205 2382
BGIOSGA000540 118 98 37 76 88 79
BGIOSGA000541 0 0 0 0 0 0
BGIOSGA000542 223 93 90 260 5 179
BGIOSGA000543 851 668 630 678 432 741
BGIOSGA000544 776 362 675 824 278 391
BGIOSGA000545 2 2 0 0 2 8
BGIOSGA000546 258 278 417 85 86 145
BGIOSGA000547 205 196 353 262 167 162
BGIOSGA000548 520 730 916 439 553 412
BGIOSGA000549 35 85 239 43 89 116
BGIOSGA000550 11 25 17 55 0 129
BGIOSGA000551 60 245 6 24 104 89
BGIOSGA000552 0 0 0 0 0 0
BGIOSGA000553 120 32 12 137 14 27
BGIOSGA000554 253 228 106 272 159 354
BGIOSGA000555 193 207 149 235 233 189
BGIOSGA000556 12 13 0 0 0 4
BGIOSGA000557 1 2 0 0 0 0
BGIOSGA000558 0 0 0 0 0 0
BGIOSGA000559 0 0 0 0 0 0
BGIOSGA000560 43 30 36 33 46 48
BGIOSGA000561 209 91 35 62 14 43
BGIOSGA000562 97 63 80 94 45 54
BGIOSGA000563 142 87 120 137 47 57
BGIOSGA000564 204 8 12 112 1 57
BGIOSGA000565 0 0 0 0 2 0
BGIOSGA000566 343 251 70 465 13 169
BGIOSGA000567 303 328 501 268 260 282
BGIOSGA000568 0 0 0 0 0 0
BGIOSGA000569 13 2 5 14 2 13
BGIOSGA000570 0 0 0 0 0 0
BGIOSGA000571 370 3343 179 1042 3483 661
BGIOSGA000572 51 22 105 31 11 36
BGIOSGA000573 21 8 4 28 0 26
BGIOSGA000574 0 0 0 0 0 0
BGIOSGA000575 2 2 0 2 8 6
BGIOSGA000576 0 0 0 0 0 0
BGIOSGA000577 3 321 2 198 327 302
BGIOSGA000578 0 0 0 0 0 1
BGIOSGA000579 244 1226 1018 236 898 381
BGIOSGA000580 249 77 36 127 62 58
BGIOSGA000581 809 278 554 494 265 278
BGIOSGA000582 313 210 417 330 171 267
BGIOSGA000583 63 113 172 7 95 97
BGIOSGA000584 0 0 0 0 0 0
BGIOSGA000585 0 0 0 0 0 0
BGIOSGA000586 0 0 0 0 0 0
BGIOSGA000587 1603 1116 1601 1472 815 956
BGIOSGA000588 147 82 97 141 135 64
BGIOSGA000589 100 173 657 94 73 218
BGIOSGA000590 1 2 0 5 5 3
BGIOSGA000591 865 3260 1804 1012 2198 1191
BGIOSGA000592 129 68 261 220 169 437
BGIOSGA000593 333 255 1123 748 387 706
BGIOSGA000594 74 46 115 16 19 51
BGIOSGA000595 106 574 370 50 460 155
BGIOSGA000596 4 0 0 0 0 0
BGIOSGA000597 3045 1490 2798 2193 991 1258
BGIOSGA000598 8 286 18 92 89 109
BGIOSGA000599 9 5 4 5 4 6
BGIOSGA000600 19 19 22 17 12 16
BGIOSGA000601 93 1106 440 51 1207 403
BGIOSGA000602 20 62 25 69 157 91
BGIOSGA000603 2238 711 1129 739 239 437
BGIOSGA000604 49 22 92 108 5 109
BGIOSGA000605 1810 2038 1538 1191 2713 1574
BGIOSGA000606 261 76 157 124 14 74
BGIOSGA000607 86 133 54 68 65 24
BGIOSGA000608 4 1 0 0 0 0
BGIOSGA000609 0 0 2 1 0 0
BGIOSGA000610 0 0 0 0 0 0
BGIOSGA000611 0 0 0 0 0 0
BGIOSGA000612 285 238 245 322 205 254
BGIOSGA000613 320 176 576 352 328 346
BGIOSGA000614 795 323 116 606 105 252
BGIOSGA000615 52 0 10 10 0 0
